starting warm up with config config/200GB_512KB_8W2R.ini----
starting replay IO trace trace/200GB_512KB_8W2R.trace----
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
Current idle devce = 0
Current idle devce = 1
Current idle devce = 2
Current idle devce = 3
Current idle devce = 4
